ID,Name,Mg,Ni,Cu,Ce,La,Nd,Pr,Sm,Y,Ag,Al,Ca,Co,Fe,In,Li,Mn,Nb,Ti,V,Zn,Cr,Pd,Si,Zr,Gd,B,C,密(XM),δ密(XM),族Gp,δ族Gp,I2(ev),δI2(ev),原径(Rm),δ原径(Rm),共径(Rc),δ共径(Rc,自能(W),δ自能(W),晶体(LP),δ晶体(LP),功函数,δ功函数,绝对电负性,δ绝对电负性,AW,δAW,AN,δAN,Tb,δTb,Eea(ev),δEea(ev),I1,δI1,XP,δXP,Hf,δHf,Cm,δCm,VEC,fs,fp,fd,δVEC,K,δK,Tm,δTm,Vm,B,熔化焓Sf,密度,混合焓Hmix,吉布斯自由能Gmix,oumiga的倒数,熵Smix,加工方式,球磨机H2压力（MPa）,球磨机Ar2压力（MPa）,球粉质量比,球磨机转速(圆盘转速)（rpm）,磨粉时间（h）,℃/min差示扫描量热法 (DSC) 和热重法 (TG) 加热速率,氩气MPa,烧结温度℃,烧结时间h,m/s熔体纺丝速率（铜辊线速度近似表示）,样品的加热速率,吸氢饱和比（Ra(t))t min%,脱氢比（R d ( t )）%,温度C?a?(t)（t的氢化能力）氢容量,C?d?(t)（t的氢化能力）氢解吸容量,吸氢速率,初始吸氢温度℃,氢吸收温度,氢吸收压力,氢吸收时间min,吸H量,储氢量,可逆储氢能力wt%,氢解吸效率,解吸动力学温度,解吸动力学H2压力(MPa),解吸动力学H2压力时间min,解吸H2含量,脱氢量,开始解吸温度℃,峰值解吸温度（从第70个挪动）℃,最终脱氢温度℃,完全脱氢时间,吸氢活化能E?ae(k)kJ/mol,氢解吸过程的活化能 (E de(a)),脱氢活化能E?de(k),焓变ΔH （形成焓）?(kJ/mol)（吸氢,熵变ΔS J/mol/K)（吸氢,焓变ΔH (kJ/mol)（分解焓）氢解吸,熵变ΔS J/mol/K)（氢解吸,吸收PCT平衡压力MPa,解吸PCT平衡压力MPa,活化温度℃,H2活化压力MPa,活化循环次数
MHS0011,Mg24YNi10Cu,0.441006364,0.038334554,,,,,,,0.067215442,,,,,,,,,,,,,,,,,,,,1.708888664,0.051732398,4.499989518,0.825686043,15.97389706,0.105358845,0.149900049,0.112864406,0.137388917,0.084939242,4.087220164,0.16825593,141.6515775,0.632959551,4.085831273,0.168021991,3.935276863,0.08294596,36.74179006,0.496299324,17.6666481,0.464281606,1972.914447,0.439713654,0.098164666,7.312260145,7.606972095,0.030873048,1.490554749,0.186519746,11.25832209,0.33547203,25.23683182,0.023345393,4.499989518,0.438272614,0,0.561727386,0.825686043,163.5279082,0.390513498,1183.166219,0.315065135,0.01463144,85.02759592,0.009515419,3086986.385,-4.530857534,-8121.979879,0.000558163,6.860784975,铸态,,,,,,,,,,,,,,,,,,300,3,,,3.75,,,,,,,,,,,,,,,,,,,,,,,
MHS0012,Mg22Y3Ni11Cu,0.353972635,0.427395924,0.048042567,,,,,,0.17656463,,,,,,,,,,,,,,,,,,,,1.696756465,0.067726912,4.702691737,0.795433198,15.88155811,0.119265198,0.150302759,0.122613939,0.139675714,0.120020573,4.085673384,0.178771706,130.598423,0.695862292,4.08432203,0.178563391,3.917566491,0.094604519,40.82702308,0.524520631,19.40539067,0.48392723,2127.592654,0.43947578,0.165079085,4.35252306,7.530783383,0.05173467,1.497026152,0.191414804,11.56485342,0.327973264,25.34913384,0.025776962,4.702691737,0.419541197,0,0.580458803,0.795433198,152.2163217,0.469382407,1245.246935,0.317418404,0.014850615,87.37818437,0.009287197,3380473.369,-7.231551756,-10060.35122,0.000719334,8.073193661,铸态,,,,,,,,,,,,,,,,,,300,3,,,3.4,,,,,,,,,,,,,,,,,,,,,,,
MHS0013,Mg20Y5Ni12Cu,0.286195048,0.414671367,0.037413188,,,,,,0.261720397,,,,,,,,,,,,,,,,,,,,1.685262802,0.079700213,4.894725434,0.766992615,15.7940791,0.131100325,0.150684273,0.131046539,0.141842154,0.142510782,4.084208014,0.188205606,120.1270127,0.755744286,4.082892222,0.188018127,3.900788242,0.104439034,44.69724417,0.523366459,21.05262061,0.48070975,2274.129915,0.427558892,0.228471697,3.122538169,7.458604598,0.064665974,1.503156956,0.195774253,11.85525155,0.319295975,25.45552523,0.027198216,4.894725434,0.403226736,0,0.596773264,0.766992615,141.500081,0.540132692,1304.06025,0.311950121,0.015058253,89.60505783,0.009091031,3650767.631,-9.811631905,-11550.09333,0.000850207,8.849500397,铸态,,,,,,,,,,,,,,,,,,300,3,,,3.07,,,,,,,,,,,,,,,,,,,,,,,
MHS0014,Mg24YNi10Cu,0.441006364,0.443735626,0.048042567,,,,,,0.067215442,,,,,,,,,,,,,,,,,,,,1.708888664,0.051732398,4.499989518,0.825686043,15.97389706,0.105358845,0.149900049,0.112864406,0.137388917,0.084939242,4.087220164,0.16825593,141.6515775,0.632959551,4.085831273,0.168021991,3.935276863,0.08294596,36.74179006,0.496299324,17.6666481,0.464281606,1972.914447,0.439713654,0.098164666,7.312260145,7.606972095,0.030873048,1.490554749,0.186519746,11.25832209,0.33547203,25.23683182,0.023345393,4.499989518,0.438272614,0,0.561727386,0.825686043,163.5279082,0.390513498,1183.166219,0.315065135,0.01463144,85.02759592,0.009515419,3086986.385,-4.530857534,-8121.979879,0.000558163,6.860784975,纺丝,,,,,,,,,,20,,,,,,,,300,3,,,3.83,,,,,,,,,,,,,,,,,,,,,,,
MHS0015,Mg22Y3Ni11Cu,0.353972635,0.427395924,0.042066812,,,,,,0.17656463,,,,,,,,,,,,,,,,,,,,1.696756465,0.067726912,4.702691737,0.795433198,15.88155811,0.119265198,0.150302759,0.122613939,0.139675714,0.120020573,4.085673384,0.178771706,130.598423,0.695862292,4.08432203,0.178563391,3.917566491,0.094604519,40.82702308,0.524520631,19.40539067,0.48392723,2127.592654,0.43947578,0.165079085,4.35252306,7.530783383,0.05173467,1.497026152,0.191414804,11.56485342,0.327973264,25.34913384,0.025776962,4.702691737,0.419541197,0,0.580458803,0.795433198,152.2163217,0.469382407,1245.246935,0.317418404,0.014850615,87.37818437,0.009287197,3380473.369,-7.231551756,-10060.35122,0.000719334,8.073193661,纺丝,,,,,,,,,,20,,,,,,,,300,3,,,3.52,,,,,,,,,,,,,66.13,65.53,?60.90,?115.22,64.29,116.84,,,,,
MHS0016,Mg20Y5Ni12Cu,0.286195048,0.414671367,0.037413188,,,,,,0.261720397,,,,,,,,,,,,,,,,,,,,1.685262802,0.079700213,4.894725434,0.766992615,15.7940791,0.131100325,0.150684273,0.131046539,0.141842154,0.142510782,4.084208014,0.188205606,120.1270127,0.755744286,4.082892222,0.188018127,3.900788242,0.104439034,44.69724417,0.523366459,21.05262061,0.48070975,2274.129915,0.427558892,0.228471697,3.122538169,7.458604598,0.064665974,1.503156956,0.195774253,11.85525155,0.319295975,25.45552523,0.027198216,4.894725434,0.403226736,0,0.596773264,0.766992615,141.500081,0.540132692,1304.06025,0.311950121,0.015058253,89.60505783,0.009091031,3650767.631,-9.811631905,-11550.09333,0.000850207,8.849500397,纺丝,,,,,,,,,,20,,,,,,,,300,3,,,2.6,,,,,,,,,,,,,,,,,,,,,,,
MHS0017,Mg90.51Ce1.42Y1.39Ni6.69,0.754650674,0.134699567,,0.068256222,,,,,0.042393536,,,,,,,,,,,,,,,,,,,,1.671030676,0.039848041,2.563240473,0.779481743,15.14712163,0.065969316,0.158322723,0.061199728,0.141438391,0.07376992,3.739675993,0.105960633,187.3072979,0.28914265,3.741095892,0.105064134,3.775047882,0.052966463,29.14760063,0.598277706,14.09870217,0.515866253,1548.518795,0.371942913,-0.272757742,1.491788708,7.595861928,0.039228087,1.34618703,0.113625424,9.260678838,0.235724837,25.00183005,0.016878943,2.563240473,0.780262336,0,0.219737664,0.779481743,178.4315251,0.209150369,991.2328059,0.224854693,0.016797683,53.64836443,0.009342587,2132209.103,-1.851970349,-3224.886689,0.000574605,3.251541615,研磨,,,40,350,,10,,,,,,,,,,,,360,3,,,5.44,,,,0.05,,,,,,,,,,,,,,,,,,,
MHS0018,Mg90.51Ce1.42Y1.39Ni6.69+10wt%Zr,0.686032255,0.12246999,,0.062049862,,,,,0.038538803,,,,,,,,,,,,,,,,0.090909091,,,,1.665426924,0.043630894,2.607798461,0.760269951,15.08570695,0.069073615,0.158383618,0.06026383,0.142477379,0.082836117,3.747749988,0.104781692,182.9612661,0.32025363,3.750674044,0.10414841,3.770872493,0.0525674,31.06993885,0.651948024,14.90081057,0.567031546,1645.55565,0.476986148,-0.251108445,1.666439425,7.566080528,0.044585377,1.345691299,0.111920174,9.624236657,0.307409874,25.0129303,0.016792832,2.607798461,0.766930432,0,0.233069568,0.760269951,173.6181007,0.262338622,1026.441954,0.287236581,0.016811626,54.56768291,0.009376309,2271090.268,-1.509652643,-4414.172033,0.000342118,4.298988718,研磨,,,40,350,,10,,,,,,,,,,,,360,3,,,5.56,,,,0.05,,,,,,,,,87.7,,?76.7,?131.6,77,132.1,,,,,
MHS0019,Mg90.51Ce1.42Y1.39Ni6.69+10wt%Ti,0.686032255,0.12246999,,0.062049862,,,,,0.038538803,,,,,,,,,,0.090909091,,,,,,,,,,1.658919273,0.048931146,2.645778152,0.744018538,15.05692272,0.06885866,0.157626582,0.062306267,0.142503632,0.077273981,3.76037128,0.104713832,179.4999617,0.341863661,3.77491128,0.107411368,3.756396569,0.055462684,30.22234124,0.578432075,14.55235444,0.501401171,1663.989878,0.43817545,-0.252553934,1.597489053,7.551788356,0.045020505,1.357316883,0.114348164,9.802554878,0.311318888,25.00517898,0.01639455,2.645778152,0.755921277,0,0.244078723,0.744018538,169.4517937,0.303033453,1045.763406,0.295738735,0.016584629,56.88404471,0.009373588,2239511.545,1.26175791,-5114.69169,0.000246632,4.892075415,研磨,,,40,350,,10,,,,,,,,,,,,360,3,,,5.36,,,,0.05,,,,,,,,,99.3,,?81.5,?137.5,81.5,137.4,,,,,
MHS0020,Mg90.51Ce1.42Y1.39Ni6.69+10wt%V),0.686032255,0.12246999,,0.062049862,,,,,0.038538803,,,,,,,,,,,0.090909091,,,,,,,,,1.663399347,0.043402774,2.695190954,0.749481573,15.12078664,0.064685709,0.156876141,0.07137313,0.142063953,0.073765836,3.777591649,0.110310711,177.8935172,0.369595879,3.771357732,0.10676904,3.765580006,0.052705215,30.3274173,0.582389291,14.58058183,0.50441753,1663.892425,0.444241275,-0.229622773,1.89388114,7.549866868,0.046065162,1.361552637,0.119011145,9.890686987,0.342015093,24.99578779,0.016451426,2.695190954,0.742062449,0,0.257937551,0.749481573,170.4515394,0.289208128,1055.739547,0.327711365,0.016405075,59.40542872,0.009368492,2266375.675,2.719254622,-5091.897873,0.000533751,4.825638239,研磨,,,40,350,,10,,,,,,,,,,,,360,3,,,5.51,,,,0.05,,,,,,,,,89.1,,?76.3,?131.0,77.9,133.5,,,,,
MHS0021,Mg-15Ce,0.85,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,1.659307288,0.03683163,2.029701978,0.0836398,14.91214828,0.04727863,0.160765324,0.023653799,0.142871225,0.074858486,3.634456299,0.040170225,199.4476226,0.15189302,3.637426497,0.035470281,3.727723516,0.034155672,27.74481579,0.708619707,13.36629099,0.5842412,1430.42349,0.269405516,-0.37267418,0.419086608,7.583417932,0.047167711,1.304356624,0.02472877,8.60495367,0.063131586,24.9305128,0.014102436,2.029701978,0.985366335,0,0.014633665,0.0836398,184.6833459,0.164539645,927.4567868,0.02654114,0.017431869,44.3168545,0.00927801,1955124.92,-0.806953578,-1031.787154,0.000782705,1.111620741,研磨,,,20,875,2,,,,,,,,,,,,,300,3,2,5,,6,,,,,,,,,,,,,,,,,,,,,,
MHS0022,Mg-4Ce,0.96,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,1.66741672,0.018223385,2.007175778,0.042051867,15.00569914,0.023360078,0.160260737,0.011797543,0.141452074,0.037592562,3.653828831,0.019866481,203.467468,0.07402819,3.654546408,0.017552978,3.744618166,0.01690536,25.13603407,0.388887287,12.33008581,0.314892577,1379.289017,0.138912482,-0.393398284,0.197390413,7.630880635,0.023305615,1.308636602,0.012254772,8.677037509,0.031127855,24.88386104,0.007024785,2.007175778,0.996424938,0,0.003575062,0.042051867,188.7155357,0.080060089,924.1904879,0.01324272,0.017245576,44.8349571,0.009388798,1791085.71,-0.199480024,-327.3500175,0.00060975,0.353986047,研磨,,,20,875,2,,,,,,,,,,,,,300,3,7,5,,,,,,,,,,,,,,,,,,,,,,,,
MHS0023,Mg-4Ce8Ni,0.88,0.08,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,1.672686044,0.025224931,2.295590795,0.649722468,15.11699301,0.045681423,0.158990707,0.043544458,0.140862999,0.045077083,3.707163657,0.077849522,196.4186536,0.198834446,3.707917791,0.077226992,3.767748012,0.036718494,26.41656528,0.446732276,12.92300062,0.381633399,1445.758114,0.269374208,-0.336892322,0.890616192,7.629894356,0.023888552,1.330170854,0.085146216,8.981920251,0.179493984,24.92786154,0.011404155,2.295590795,0.871235416,0,0.128764584,0.649722468,185.0854879,0.129035248,953.2284708,0.157663023,0.01692149,49.68738367,0.009422631,1918381.247,-0.783385311,-1578.911649,0.000496402,1.655561402,研磨,,,20,875,2,,,,,,,,,,,,,300,3,4,5,,6,,,,,,,,,,,,,,,,,,,,,,
MHS0024,Mg-4Ce8Ni,0.88,0.08,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,1.672686044,0.025224931,2.295590795,0.649722468,15.11699301,0.045681423,0.158990707,0.043544458,0.140862999,0.045077083,3.707163657,0.077849522,196.4186536,0.198834446,3.707917791,0.077226992,3.767748012,0.036718494,26.41656528,0.446732276,12.92300062,0.381633399,1445.758114,0.269374208,-0.336892322,0.890616192,7.629894356,0.023888552,1.330170854,0.085146216,8.981920251,0.179493984,24.92786154,0.011404155,2.295590795,0.871235416,0,0.128764584,0.649722468,185.0854879,0.129035248,953.2284708,0.157663023,0.01692149,49.68738367,0.009422631,1918381.247,-0.783385311,-1578.911649,0.000496402,1.655561402,研磨,,,20,875,2,,,,,,,,,,,,,200,3,10,3,,6,,,0.02,20,0.6,,,,,,,,,,,,,,,,,
MHS0025,Mg-9Ce,0.91,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1.663928108,0.02786025,2.016866368,0.063846918,14.96545431,0.035734441,0.160477807,0.017974222,0.142062581,0.057105496,3.645494924,0.030377988,201.7381629,0.113907001,3.647181561,0.026833249,3.737350224,0.02584131,26.25831091,0.567936897,12.77585292,0.463644367,1401.286655,0.208600781,-0.384482942,0.30812562,7.610462563,0.035650904,1.30679539,0.018722467,8.646027623,0.047659603,24.90393025,0.010708515,2.016866368,0.99163734,0,0.00836266,0.063846918,186.9809202,0.123274372,925.5956233,0.020172688,0.017325718,44.61207354,0.009341042,1862101.314,-0.464293015,-659.0302744,0.000705006,0.711505073,研磨,,,20,875,2,,,,,,,,,,,,,200,3,10,3.5,,,,,,,,,,,,,,,,,,,,,,,,
MHS0026,Mg-8 mol%Fe,0.833473733,,,,,,,,,,,,,0.166526267,,,,,,,,,,,,,,,1.6708,0.001623732,2.48,0.656354514,15.1277008,0.020668582,0.15722,0.06212031,0.14028,0.017405466,3.7392,0.07182827,189.29232,0.276887942,3.7272,0.061141416,3.7748,0.022279562,26.8282,0.318940052,13.12,0.289489694,1504.68,0.319310588,-0.35496,0.430296572,7.66656,0.009094346,1.3516,0.104374418,9.108,0.151909894,24.88748,0.002518083,2.48,0.806451613,0,0.193548387,0.656354514,181.2,0.16469234,994.19,0.242316218,0.016451675,55,0.009161227,1997235.991,5.2992,-2298.923586,0.002299778,2.317688557,反应球磨,3,,40,600,10,10,,,,,,,,,,,,326,1,,,5.4,,,,0.013,,,,,,,,,,,,,,,,,,,
MHS0027,Mg-8 mol%Fe,0.833473733,,,,,,,,,,,,,0.166526267,,,,,,,,,,,,,,,1.6708,0.001623732,2.48,0.656354514,15.1277008,0.020668582,0.15722,0.06212031,0.14028,0.017405466,3.7392,0.07182827,189.29232,0.276887942,3.7272,0.061141416,3.7748,0.022279562,26.8282,0.318940052,13.12,0.289489694,1504.68,0.319310588,-0.35496,0.430296572,7.66656,0.009094346,1.3516,0.104374418,9.108,0.151909894,24.88748,0.002518083,2.48,0.806451613,0,0.193548387,0.656354514,181.2,0.16469234,994.19,0.242316218,0.016451675,55,0.009161227,1997235.991,5.2992,-2298.923586,0.002299778,2.317688557,反应球磨,3,,40,600,24,10,,,,,,,,,,,,345,1,,,5.74,,,,0.013,,,,,,,,,,,,,,,,,,,
MHS0028,Mg76.87Ni12.78Y10.35(at. %),0.527984481,0.211975571,,,,,,,0.260039949,,,,,,,,,,,,,,,,,,,,1.660189814,0.062867936,3.125893991,0.847305435,15.1455292,0.094699399,0.157643483,0.088997999,0.143898925,0.115666933,3.792460697,0.144096054,165.5685794,0.438618572,3.792460697,0.144096054,3.775109354,0.077601606,35.38601454,0.606286015,16.83929415,0.546694518,1829.371031,0.46817009,-0.127458545,4.21385642,7.497641853,0.057900803,1.377364509,0.149335424,10.06574402,0.283142953,25.19440077,0.023946789,3.125893991,0.639816963,0,0.360183037,0.847305435,159.4423347,0.366592664,1116.694587,0.316329828,0.016782789,61.83889345,0.009013874,2592526.33,-5.121464991,-6503.017056,0.000788173,5.818865488,,,,,,,,,,,30,,,,,,,,350,3,180,3.67,,,,,,,,,,,,,,,,,,,,,,,,
